order_id,city_tier,customer_age,customer_loyalty_score,order_hour,order_day_of_week,order_month,delivery_distance_km,preparation_time_minutes,delivery_time_minutes,estimated_delivery_time,traffic_level_score,weather_severity_score,restaurant_rating,delivery_partner_rating,customer_rating,order_value,delivery_fee,discount_amount,tip_amount,final_amount_paid,number_of_items,cancellation_flag,delayed_delivery_flag,refund_flag,promo_code_used,premium_customer_flag,festival_or_weekend_flag,delivery_partner_experience_years,delivery_efficiency_score
5a87c6ab-e4a8-44ef-8852-f7a63e3b3943,2.0,21.0,4.9575224,20.0,6.0,6.0,14.117144,23.0,76.0,68.0,5.4,2.6,4.3,4.1,2.9,100.0,14.592603,22.969358,19.94054,111.56378,4.0,False,False,True,False,False,True,9.0,71.1
8eab78a5-a5c5-41d7-9a5f-5779ee5f2d3d,1.0,63.0,38.74472,0.0,2.0,2.0,9.177354,16.0,34.0,40.0,1.0,1.6,4.0,4.2,3.4,100.0,4.3917203,4.4344053,16.10195,116.059265,7.0,False,False,False,True,False,False,12.0,100.0
1338cc5b-e5cf-419f-a7c9-4a2577608715,1.0,68.0,45.170998,9.0,2.0,11.0,34.75392,41.0,152.0,142.0,8.3,4.1,4.4,4.2,3.7,100.0,9.006407,14.9796915,17.681454,111.70817,12.0,False,False,False,False,False,False,10.0,34.4
5277f2fb-b1b3-4f58-9975-12f8f1b71421,2.0,30.0,10.573003,6.0,6.0,5.0,26.596184,9.0,93.0,93.0,3.2,8.8,4.8,4.6,4.1,145.11345,11.407034,14.813044,11.593912,153.30135,7.0,False,False,False,False,True,True,1.0,45.0
df159a97-3a78-4b08-a524-ec433c75b670,2.0,60.0,58.28462,12.0,1.0,9.0,26.204151,49.0,141.0,134.0,7.5,9.5,4.0,3.9,4.6,100.0,11.572232,13.716308,13.272883,111.12881,2.0,True,False,False,False,False,False,6.0,25.1
5e180dec-043d-4300-aba6-271dab40edfc,3.0,40.0,83.622,19.0,5.0,12.0,5.380323,57.0,62.0,68.0,1.0,4.5,4.0,3.9,4.4,100.0,4.5486183,19.385077,1.9646146,87.12816,5.0,False,False,False,False,False,False,4.0,73.6
13643241-8c6c-48a4-8d03-863deafeb216,2.0,47.0,73.19531,16.0,1.0,4.0,29.849014,16.0,93.0,109.0,5.1,7.8,4.8,4.7,3.4,100.0,5.4293566,28.722769,7.137642,83.84423,3.0,False,False,False,True,True,False,10.0,58.9
7fc48f3b-b50b-44d8-ae6b-73085c131aa5,3.0,57.0,84.82372,2.0,4.0,8.0,6.622346,32.0,40.0,53.0,1.0,5.9,4.4,4.0,3.8,100.0,9.863758,0.29806682,7.805911,117.371605,3.0,False,False,False,True,False,False,13.0,96.6
70d9ed9f-fe98-4144-b00d-7ee169bf9d40,3.0,20.0,45.12801,21.0,1.0,10.0,9.291364,13.0,83.0,63.0,7.3,9.8,3.9,3.7,4.0,113.1798,9.451543,5.6408777,5.358308,122.34878,6.0,True,True,False,False,False,False,1.0,39.3
2b538d8f-4edb-492d-aa1b-ebdd76392762,1.0,45.0,0.62870365,22.0,4.0,4.0,34.269146,37.0,126.0,131.0,8.0,0.1,4.3,4.0,3.9,107.00488,4.419055,13.392116,24.226173,122.257996,7.0,False,False,False,False,True,False,10.0,51.4
9884ece6-b0ed-46fd-b09d-bc88f2fa6696,3.0,65.0,10.273938,3.0,3.0,7.0,6.7844057,39.0,65.0,56.0,3.4,0.7,3.9,4.1,3.9,100.0,13.66589,26.53865,19.769157,106.89639,11.0,False,False,False,True,False,False,14.0,91.4
6c18817e-43ba-4f03-8825-382fed10da1f,3.0,55.0,54.990852,8.0,1.0,10.0,20.45163,13.0,77.0,87.0,7.3,7.5,3.9,4.8,3.1,100.0,8.110444,29.89443,24.027254,102.24327,7.0,True,False,False,True,False,False,7.0,56.0
1c855b63-19b7-49c4-808e-950e4d7b5af8,2.0,25.0,19.47931,21.0,2.0,7.0,14.80822,51.0,89.0,88.0,1.0,5.3,4.2,4.6,3.4,184.30475,11.763377,22.781223,9.558905,182.84581,9.0,False,False,False,False,True,False,3.0,59.8
50cfe790-d67a-4a0b-a76a-6fdd3f38f1d1,3.0,44.0,32.412422,12.0,6.0,3.0,25.24415,42.0,121.0,118.0,3.4,9.7,3.2,4.7,3.8,154.20302,11.309834,4.2721357,24.454744,185.69547,1.0,False,False,False,False,True,True,1.0,32.0
