,dtype,nulls,null_pct,nunique,high_cardinality,low_variance,completeness
order_id,object,0,0.0,15000,True,False,1.0
city_tier,int64,0,0.0,3,False,False,1.0
customer_age,int64,0,0.0,58,False,False,1.0
customer_loyalty_score,float64,0,0.0,15000,True,False,1.0
order_hour,int64,0,0.0,24,False,False,1.0
order_day_of_week,int64,0,0.0,6,False,False,1.0
order_month,int64,0,0.0,12,False,False,1.0
delivery_distance_km,float64,0,0.0,15000,True,False,1.0
preparation_time_minutes,int64,0,0.0,56,False,False,1.0
delivery_time_minutes,int64,0,0.0,171,False,False,1.0
estimated_delivery_time,int64,0,0.0,162,False,False,1.0
traffic_level_score,float64,0,0.0,91,False,False,1.0
weather_severity_score,float64,0,0.0,101,False,False,1.0
restaurant_rating,float64,0,0.0,28,False,False,1.0
delivery_partner_rating,float64,150,1.0,24,False,False,0.99
customer_rating,float64,150,1.0,33,False,False,0.99
order_value,float64,0,0.0,6040,False,False,1.0
delivery_fee,float64,0,0.0,15000,True,False,1.0
discount_amount,float64,0,0.0,15000,True,False,1.0
tip_amount,float64,150,1.0,14850,True,False,0.99
final_amount_paid,float64,0,0.0,15000,True,False,1.0
number_of_items,int64,0,0.0,12,False,False,1.0
cancellation_flag,bool,0,0.0,2,False,True,1.0
delayed_delivery_flag,bool,0,0.0,2,False,True,1.0
refund_flag,bool,0,0.0,2,False,True,1.0
promo_code_used,bool,0,0.0,2,False,True,1.0
premium_customer_flag,bool,0,0.0,2,False,True,1.0
festival_or_weekend_flag,bool,0,0.0,2,False,True,1.0
delivery_partner_experience_years,int64,0,0.0,15,False,False,1.0
delivery_efficiency_score,float64,0,0.0,895,False,False,1.0
